+ [https://www.spinics.net/lists/linux-leds/msg12682.html][PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Brian Dodge
o [https://www.spinics.net/lists/linux-leds/msg12699.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Daniel Thompson
# [https://www.spinics.net/lists/linux-leds/msg12704.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Brian Dodge
@ [https://www.spinics.net/lists/linux-leds/msg12706.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Daniel Thompson
o [https://www.spinics.net/lists/linux-leds/msg12745.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Dan Murphy
+ [https://www.spinics.net/lists/linux-leds/msg12683.html][PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Brian Dodge
o [https://www.spinics.net/lists/linux-leds/msg12717.html]Re: [PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Pavel Machek
o [https://www.spinics.net/lists/linux-leds/msg12746.html]Re: [PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Dan Murphy
* [https://www.spinics.net/lists/linux-leds/msg12677.html][PATCH 24/43] docs: leds: convert to ReST, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-leds/msg12679.html]Re: [PATCH 24/43] docs: leds: convert to ReST, Jacek Anaszewski
o [https://www.spinics.net/lists/linux-leds/msg12728.html]Re: [PATCH 24/43] docs: leds: convert to ReST, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-leds/msg12675.html][PATCH 0/9] Some doc fixes, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-leds/msg12676.html][PATCH 4/9] dt: leds-lm36274.txt: fix a broken reference to ti-lmu.txt, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-leds/msg12653.html][PATCH 0/2] fix vendor prefix for arcxcnn driver and bindings, Brian Dodge
+ [https://www.spinics.net/lists/linux-leds/msg12654.html][PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Brian Dodge
o [https://www.spinics.net/lists/linux-leds/msg12657.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Daniel Thompson
@ [https://www.spinics.net/lists/linux-leds/msg12659.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Daniel Thompson
- [https://www.spinics.net/lists/linux-leds/msg12663.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Lee Jones
- [https://www.spinics.net/lists/linux-leds/msg12664.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Rob Herring
- [https://www.spinics.net/lists/linux-leds/msg12665.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Pavel Machek
= [https://www.spinics.net/lists/linux-leds/msg12666.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Dan Murphy
# [https://www.spinics.net/lists/linux-leds/msg12661.html]Re: [PATCH 1/2] dt-bindings: backlight: fix vendor prefix for ArcticSand arcxcnn driver bindings, Dan Murphy
+ [https://www.spinics.net/lists/linux-leds/msg12655.html][PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Brian Dodge
o [https://www.spinics.net/lists/linux-leds/msg12658.html]Re: [PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Daniel Thompson
o [https://www.spinics.net/lists/linux-leds/msg12660.html]Re: [PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Dan Murphy
# [https://www.spinics.net/lists/linux-leds/msg12662.html]Re: [PATCH 2/2] backlight: arcxcnn: add "arctic" vendor prefix, Dan Murphy
* [https://www.spinics.net/lists/linux-leds/msg12633.html][PATCH v2 20/29] docs: leds: convert to ReST, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-leds/msg12640.html]Re: [PATCH v2 20/29] docs: leds: convert to ReST, Pavel Machek
* [https://www.spinics.net/lists/linux-leds/msg12614.html][PATCH v2 12/28] drivers: Introduce class_find_device_by_name() helper, Suzuki K Poulose
+ [https://www.spinics.net/lists/linux-leds/msg12642.html]Re: [PATCH v2 12/28] drivers: Introduce class_find_device_by_name() helper, Pavel Machek
+ [https://www.spinics.net/lists/linux-leds/msg12647.html]Re: [PATCH v2 12/28] drivers: Introduce class_find_device_by_name() helper, Alexandre Belloni
* [https://www.spinics.net/lists/linux-leds/msg12613.html][PATCH v2 10/28] drivers: Add generic helper to match by name, Suzuki K Poulose
* [https://www.spinics.net/lists/linux-leds/msg12602.html][PATCH] dt: leds-lm36274.txt: fix a broken reference to ti-lmu.txt, Mauro Carvalho Chehab
+ [https://www.spinics.net/lists/linux-leds/msg12619.html]Re: [PATCH] dt: leds-lm36274.txt: fix a broken reference to ti-lmu.txt, Pavel Machek
o [https://www.spinics.net/lists/linux-leds/msg12620.html]Re: [PATCH] dt: leds-lm36274.txt: fix a broken reference to ti-lmu.txt, Dan Murphy
* [https://www.spinics.net/lists/linux-leds/msg12599.html][PATCH v1 22/31] docs: leds: convert to ReST, Mauro Carvalho Chehab
* [https://www.spinics.net/lists/linux-leds/msg12597.html][PATCH][next] leds: lm36274: remove redundant initialization of variable ret, Colin King
+ [https://www.spinics.net/lists/linux-leds/msg12598.html]Re: [PATCH][next] leds: lm36274: remove redundant initialization of variable ret, walter harms
* [https://www.spinics.net/lists/linux-leds/msg12591.html][PATCH v2 0/3] PWM framework: add support referencing PWMs from ACPI, Nikolaus Voss
